iter	Passed	Remaining
0	356	177726
1	732	182330
2	1074	177972
3	1414	175336
4	1752	173515
5	2094	172433
6	2437	171663
7	2780	170978
8	3133	170967
9	3487	170880
10	3840	170743
11	4179	169947
12	4541	170114
13	4888	169715
14	5243	169553
15	5602	169479
16	5939	168761
17	6297	168633
18	6324	160102
19	6666	159997
20	6758	154153
21	7085	153958
22	7279	150971
23	7370	146184
24	7389	140392
25	7736	141040
26	8099	141891
27	8103	136603
28	8445	137164
29	8836	138435
30	9253	140003
31	9641	141005
32	10012	141688
33	10401	142555
34	10769	143076
35	11140	143594
36	11555	144605
37	11936	145127
38	12322	145661
39	12674	145751
40	13014	145699
41	13344	145522
42	13677	145364
43	13995	145047
44	14320	144792
45	14638	144477
46	14721	141890
47	15048	141704
48	15372	141490
49	15698	141286
50	16029	141122
51	16356	140917
52	16677	140656
53	17007	140469
54	17346	140348
55	17660	140020
56	17997	139876
57	18328	139679
58	18644	139356
59	18984	139216
60	19326	139087
61	19650	138821
62	19984	138623
63	20319	138423
64	20659	138259
65	20992	138040
66	21324	137811
67	21646	137517
68	21963	137192
69	22283	136884
70	22604	136580
71	22936	136346
72	23277	136156
73	23612	135929
74	23932	135620
75	24271	135408
76	24607	135180
77	24947	134970
78	25310	134883
79	25650	134663
80	25986	134424
81	26318	134160
82	26655	133919
83	27005	133739
84	27346	133515
85	27730	133492
86	28089	133342
87	28415	133038
88	28748	132761
89	29091	132527
90	29432	132282
91	29768	132015
92	30106	131755
93	30439	131474
94	30790	131263
95	31132	131017
96	31466	130733
97	31791	130409
98	32142	130194
99	32473	129893
100	32800	129578
101	33131	129277
102	33462	128977
103	33797	128689
104	34123	128368
105	34462	128094
106	34797	127807
107	35127	127499
108	35469	127232
109	35802	126935
110	36134	126633
111	36481	126381
112	36820	126103
113	37151	125793
114	37481	125479
115	37822	125205
116	38155	124900
117	38498	124631
118	38846	124375
119	39175	124055
120	39499	123721
121	39840	123440
122	40180	123154
123	40517	122859
124	40854	122562
125	41191	122267
126	41524	121957
127	41867	121677
128	42207	121388
129	42534	121060
130	42868	120752
131	43206	120454
132	43551	120174
133	43649	119222
134	43993	118945
135	44335	118663
136	44677	118379
137	45011	118073
138	45350	117780
139	45693	117498
140	46017	117166
141	46034	116058
142	46370	115763
143	46710	115479
144	47052	115197
145	47400	114928
146	47736	114632
147	48071	114333
148	48409	114038
149	48581	113357
150	48916	113059
151	49266	112794
152	49608	112510
153	49943	112210
154	50303	111966
155	50643	111676
156	50984	111387
157	51326	111099
158	51667	110809
159	51997	110495
160	52324	110174
161	52658	109867
162	53001	109579
163	53351	109306
164	53675	108978
165	54018	108687
166	54356	108387
167	54699	108096
168	55045	107811
169	55379	107501
170	55722	107207
171	56056	106899
172	56399	106603
173	56737	106300
174	57066	105981
175	57405	105677
176	57749	105385
177	58092	105088
178	58426	104775
179	58778	104494
180	59115	104186
181	59436	103850
182	59778	103549
183	60110	103233
184	60439	102910
